yourlist:M2018113014483A1C7ED25EE8374758DF3FD545FD0520569	isomap:M2018113014483A1C7ED25EE8374758DF3FD545FD0520569	Status	yourlist:M2018113014483A1C7ED25EE8374758DF3FD545FD051FAA9	isomap:M2018113014483A1C7ED25EE8374758DF3FD545FD051FAA9	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
NM_030166		reviewed	NM_030166		Q9D2N8	GLT15_MOUSE	reviewed	Polypeptide N-acetylgalactosaminyltransferase 15 (EC 2.4.1.41) (Polypeptide GalNAc transferase-like protein 2) (GalNAc-T-like protein 2) (pp-GaNTase-like protein 2) (Polypeptide N-acetylgalactosaminyltransferase-like protein 2) (Protein-UDP acetylgalactosaminyltransferase-like protein 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 2)	Galnt15 Galntl2	Mus musculus (Mouse)	638
NM_001081421		reviewed	NM_001081421		Q9JJ61	GLT16_MOUSE	reviewed	Polypeptide N-acetylgalactosaminyltransferase 16 (EC 2.4.1.41) (Polypeptide GalNAc transferase 16) (GalNAc-T16) (Polypeptide GalNAc transferase-like protein 1) (GalNAc-T-like protein 1) (pp-GaNTase-like protein 1) (Polypeptide N-acetylgalactosaminyltransferase-like protein 1) (Protein-UDP acetylgalactosaminyltransferase-like protein 1) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 1)	Galnt16 Galntl1	Mus musculus (Mouse)	558
NM_175032		unreviewed	NM_175032		E5D8G1	E5D8G1_MOUSE	unreviewed	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	Galntl6	Mus musculus (Mouse)	601
NM_173739		reviewed	NM_173739		Q8K1B9	GLT18_MOUSE	reviewed	Polypeptide N-acetylgalactosaminyltransferase 18 (EC 2.4.1.41) (Polypeptide GalNAc transferase 18) (GalNAc-T18) (Polypeptide GalNAc transferase-like protein 4) (GalNAc-T-like protein 4) (pp-GaNTase-like protein 4) (Polypeptide N-acetylgalactosaminyltransferase-like protein 4) (Protein-UDP acetylgalactosaminyltransferase-like protein 4) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 4)	Galnt18 Galntl4	Mus musculus (Mouse)	622
NM_026449		reviewed	NM_026449		Q9D4M9	GLTL5_MOUSE	reviewed	Inactive polypeptide N-acetylgalactosaminyltransferase-like protein 5 (Polypeptide GalNAc transferase 15) (GalNAc-T15) (pp-GaNTase 15) (Protein-UDP acetylgalactosaminyltransferase 15) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 15)	Galntl5 Galnt15	Mus musculus (Mouse)	431
NM_139272	NM_139272 -> Q6PB93-1	reviewed	NM_139272	NM_139272 -> Q6PB93-1	Q6PB93	GALT2_MOUSE	reviewed	Polypeptide N-acetylgalactosaminyltransferase 2 (EC 2.4.1.41) (Polypeptide GalNAc transferase 2) (GalNAc-T2) (pp-GaNTase 2) (Protein-UDP acetylgalactosaminyltransferase 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 2) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 2 soluble form]	Galnt2	Mus musculus (Mouse)	570
NM_145218		unreviewed	NM_145218		Q59J92	Q59J92_MOUSE	unreviewed	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	Galnt17 mpp-GalNAc-T17(O6) Wbscr17	Mus musculus (Mouse)	598
NM_145218	NM_145218 -> Q7TT15-1	reviewed	NM_145218	NM_145218 -> Q7TT15-1	Q7TT15	GLT17_MOUSE	reviewed	Polypeptide N-acetylgalactosaminyltransferase 17 (EC 2.4.1.41) (Polypeptide GalNAc transferase-like protein 3) (GalNAc-T-like protein 3) (pp-GaNTase-like protein 3) (Protein-UDP acetylgalactosaminyltransferase-like protein 3) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 3) (Williams-Beuren syndrome chromosomal region 17 protein homolog)	Galnt17 Wbscr17	Mus musculus (Mouse)	598
NM_015736		reviewed	NM_015736		P70419	GALT3_MOUSE	reviewed	Polypeptide N-acetylgalactosaminyltransferase 3 (EC 2.4.1.41) (Polypeptide GalNAc transferase 3) (GalNAc-T3) (pp-GaNTase 3) (Protein-UDP acetylgalactosaminyltransferase 3) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 3)	Galnt3	Mus musculus (Mouse)	633
NM_015737		reviewed	NM_015737		O08832	GALT4_MOUSE	reviewed	Polypeptide N-acetylgalactosaminyltransferase 4 (EC 2.4.1.41) (Polypeptide GalNAc transferase 4) (GalNAc-T4) (pp-GaNTase 4) (Protein-UDP acetylgalactosaminyltransferase 4) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 4)	Galnt4	Mus musculus (Mouse)	578
NM_172855		unreviewed	NM_172855		Q14B51	Q14B51_MOUSE	unreviewed	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	Galnt5	Mus musculus (Mouse)	930
NM_172855		reviewed	NM_172855		Q8C102	GALT5_MOUSE	reviewed	Polypeptide N-acetylgalactosaminyltransferase 5 (EC 2.4.1.41) (Polypeptide GalNAc transferase 5) (GalNAc-T5) (pp-GaNTase 5) (Protein-UDP acetylgalactosaminyltransferase 5) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5)	Galnt5	Mus musculus (Mouse)	930
NM_172451		reviewed	NM_172451		Q8C7U7	GALT6_MOUSE	reviewed	Polypeptide N-acetylgalactosaminyltransferase 6 (EC 2.4.1.41) (Polypeptide GalNAc transferase 6) (GalNAc-T6) (pp-GaNTase 6) (Protein-UDP acetylgalactosaminyltransferase 6) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 6)	Galnt6	Mus musculus (Mouse)	622
NM_144731		unreviewed	NM_144731		Q3U8I4	Q3U8I4_MOUSE	unreviewed	Uncharacterized protein	Galnt7	Mus musculus (Mouse)	298
NM_144731	NM_144731 -> Q80VA0-1	reviewed	NM_144731	NM_144731 -> Q80VA0-1	Q80VA0	GALT7_MOUSE	reviewed	N-acetylgalactosaminyltransferase 7 (EC 2.4.1.-) (Polypeptide GalNAc transferase 7) (GalNAc-T7) (pp-GaNTase 7) (Protein-UDP acetylgalactosaminyltransferase 7) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 7)	Galnt7	Mus musculus (Mouse)	657
NM_198306		unreviewed	NM_198306		G3X942	G3X942_MOUSE	unreviewed	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	Galnt9 mCG_129543	Mus musculus (Mouse)	604
NM_139197		reviewed	NM_139197		Q8VI38	GBGT1_MOUSE	reviewed	"Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (EC 2.4.1.88) (Forssman glycolipid synthase)"	Gbgt1 Fgs	Mus musculus (Mouse)	347
NM_001081328		reviewed	NM_001081328		Q5DTK1	CHSS3_MOUSE	reviewed	Chondroitin sulfate synthase 3 (EC 2.4.1.175) (EC 2.4.1.226) (Carbohydrate synthase 2) (Chondroitin glucuronyltransferase 3) (Chondroitin synthase 2) (ChSy-2) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 3) (N-acetylgalactosaminyltransferase 3)	Chsy3 Chsy2 Css3 Kiaa4168	Mus musculus (Mouse)	884
NM_001004150		unreviewed	NM_001004150		Q3UF00	Q3UF00_MOUSE	unreviewed	"Alpha 1,4-galactosyltransferase"	A4galt mCG_4200	Mus musculus (Mouse)	359
NM_001004150		reviewed	NM_001004150		Q67BJ4	A4GAT_MOUSE	reviewed	"Lactosylceramide 4-alpha-galactosyltransferase (EC 2.4.1.228) (Alpha-1,4-N-acetylglucosaminyltransferase) (Alpha-1,4-galactosyltransferase) (Alpha4Gal-T1) (Globotriaosylceramide synthase) (Gb3 synthase) (UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase)"	A4galt	Mus musculus (Mouse)	359
NM_030718		reviewed	NM_030718		P38649	BGAT_MOUSE	reviewed	Histo-blood group ABO system transferase (Cis-AB transferase) (Fucosylglycoprotein 3-alpha-galactosyltransferase) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase) (EC 2.4.1.40) (Glycoprotein-fucosylgalactoside alpha-galactosyltransferase) (EC 2.4.1.37) (Histo-blood group A transferase) (A transferase) (Histo-blood group B transferase) (B transferase) (NAGAT)	Abo	Mus musculus (Mouse)	332
NM_020026		reviewed	NM_020026		Q920V1	B3GL1_MOUSE	reviewed	"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1 (Beta-1,3-GalNAc-T1) (EC 2.4.1.79) (Beta-1,3-galactosyltransferase 3) (Beta-1,3-GalTase 3) (Beta3Gal-T3) (Beta3GalT3) (b3Gal-T3) (Beta-3-Gx-T3) (Brainiac 1) (Galactosylgalactosylglucosylceramide beta-D-acetyl-galactosaminyltransferase) (Globoside synthase) (UDP-N-acetylgalactosamine:globotriaosylceramide beta-1,3-N-acetylgalactosaminyltransferase)"	B3galnt1 B3galt3 B3gt3 Mbrn1	Mus musculus (Mouse)	331
NM_178640	NM_178640 -> Q8BG28-1	reviewed	NM_178640	NM_178640 -> Q8BG28-1	Q8BG28	B3GL2_MOUSE	reviewed	"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2 (Beta-1,3-GalNAc-T2) (EC 2.4.1.313) (Beta-1,3-N-acetylgalactosaminyltransferase II)"	B3galnt2	Mus musculus (Mouse)	504
NM_020283		reviewed	NM_020283		O54904	B3GT1_MOUSE	reviewed	"Beta-1,3-galactosyltransferase 1 (Beta-1,3-GalTase 1) (Beta3Gal-T1) (Beta3GalT1) (EC 2.4.1.86) (UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase-I) (UDP-galactose:beta-N-acetyl-glucosamine-beta-1,3-galactosyltransferase 1)"	B3galt1	Mus musculus (Mouse)	326
NM_020283		unreviewed	NM_020283		Q505A3	Q505A3_MOUSE	unreviewed	Hexosyltransferase (EC 2.4.1.-)	B3galt1 mCG_12444 RP23-27J1.2-001	Mus musculus (Mouse)	326
NM_020025		reviewed	NM_020025		O54905	B3GT2_MOUSE	reviewed	"Beta-1,3-galactosyltransferase 2 (Beta-1,3-GalTase 2) (Beta3Gal-T2) (Beta3GalT2) (EC 2.4.1.86) (UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase-II)"	B3galt2	Mus musculus (Mouse)	422
NM_019420		unreviewed	NM_019420		A0A068BIS6	A0A068BIS6_MOUSE	unreviewed	Hexosyltransferase (EC 2.4.1.-)	B3galt4 mCG_22996	Mus musculus (Mouse)	371
NM_019420		reviewed	NM_019420		Q9Z0F0	B3GT4_MOUSE	reviewed	"Beta-1,3-galactosyltransferase 4 (Beta-1,3-GalTase 4) (Beta3Gal-T4) (Beta3GalT4) (b3Gal-T4) (EC 2.4.1.62) (Gal-T2) (Ganglioside galactosyltransferase) (UDP-galactose:beta-N-acetyl-galactosamine-beta-1,3-galactosyltransferase)"	B3galt4	Mus musculus (Mouse)	371
NM_033149		reviewed	NM_033149		Q9JI67	B3GT5_MOUSE	reviewed	"Beta-1,3-galactosyltransferase 5 (Beta-1,3-GalTase 5) (Beta3Gal-T5) (Beta3GalT5) (b3Gal-T5) (EC 2.4.1.-) (Beta-3-Gx-T5) (Stage-specific embryonic antigen 3 synthase) (SSEA-3 synthase) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 5)"	B3galt5 B3gt5	Mus musculus (Mouse)	308
NM_080445		reviewed	NM_080445		Q91Z92	B3GT6_MOUSE	reviewed	"Beta-1,3-galactosyltransferase 6 (Beta-1,3-GalTase 6) (Beta3Gal-T6) (Beta3GalT6) (EC 2.4.1.134) (GAG GalTII) (Galactosyltransferase II) (Galactosylxylosylprotein 3-beta-galactosyltransferase) (UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6)"	B3galt6	Mus musculus (Mouse)	325
NM_022305	NM_022305 -> P15535-1	reviewed	NM_022305	NM_022305 -> P15535-1	P15535	B4GT1_MOUSE	reviewed	"Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1] [Includes: Lactose synthase A protein (EC 2.4.1.22); N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]"	B4galt1 Ggtb Ggtb2	Mus musculus (Mouse)	399
NM_022305		unreviewed	NM_022305		Q3U478	Q3U478_MOUSE	unreviewed	"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 1, isoform CRA_b"	B4galt1 mCG_9808	Mus musculus (Mouse)	399
NM_017377		unreviewed	NM_017377		B1ASJ2	B1ASJ2_MOUSE	unreviewed	"B4galt2 protein (UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 2)"	B4galt2 mCG_8868	Mus musculus (Mouse)	369
NM_017377		reviewed	NM_017377		Q9Z2Y2	B4GT2_MOUSE	reviewed	"Beta-1,4-galactosyltransferase 2 (Beta-1,4-GalTase 2) (Beta4Gal-T2) (b4Gal-T2) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 2) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 2) [Includes: Lactose synthase A protein (EC 2.4.1.22); N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]"	B4galt2	Mus musculus (Mouse)	369
NM_020579		unreviewed	NM_020579		Q3U260	Q3U260_MOUSE	unreviewed	"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3, isoform CRA_b"	B4galt3 mCG_8627	Mus musculus (Mouse)	395
NM_020579		reviewed	NM_020579		Q91YY2	B4GT3_MOUSE	reviewed	"Beta-1,4-galactosyltransferase 3 (Beta-1,4-GalTase 3) (Beta4Gal-T3) (b4Gal-T3) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 3) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 3) [Includes: N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]"	B4galt3	Mus musculus (Mouse)	395
NM_019804		reviewed	NM_019804		Q9JJ04	B4GT4_MOUSE	reviewed	"Beta-1,4-galactosyltransferase 4 (Beta-1,4-GalTase 4) (Beta4Gal-T4) (b4Gal-T4) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 4) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 4) [Includes: N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Lactotriaosylceramide beta-1,4-galactosyltransferase (EC 2.4.1.275) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase)]"	B4galt4	Mus musculus (Mouse)	344
NM_019835		unreviewed	NM_019835		Q3U7I0	Q3U7I0_MOUSE	unreviewed	Uncharacterized protein (Fragment)	B4galt5	Mus musculus (Mouse)	260
NM_019835		reviewed	NM_019835		Q9JMK0	B4GT5_MOUSE	reviewed	"Beta-1,4-galactosyltransferase 5 (Beta-1,4-GalTase 5) (Beta4Gal-T5) (b4Gal-T5) (EC 2.4.1.-) (Beta-1,4-GalT II) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 5)"	B4galt5 Bgt-5	Mus musculus (Mouse)	388
NM_019737		unreviewed	NM_019737		Q3UUA9	Q3UUA9_MOUSE	unreviewed	"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6"	B4galt6 mCG_123155	Mus musculus (Mouse)	382
NM_019737		reviewed	NM_019737		Q9WVK5	B4GT6_MOUSE	reviewed	"Beta-1,4-galactosyltransferase 6 (Beta-1,4-GalTase 6) (Beta4Gal-T6) (b4Gal-T6) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 6) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 6) [Includes: Glucosylceramide beta-1,4-galactosyltransferase (EC 2.4.1.274) (Lactosylceramide synthase) (LacCer synthase) (UDP-Gal:glucosylceramide beta-1,4-galactosyltransferase)]"	B4galt6	Mus musculus (Mouse)	382
NM_146045		unreviewed	NM_146045		Q3TAW1	Q3TAW1_MOUSE	unreviewed	"Xylosylprotein beta1,4-galactosyltransferase, polypeptide 7 (Galactosyltransferase I), isoform CRA_a"	B4galt7 mCG_3207	Mus musculus (Mouse)	327
NM_146045	NM_146045 -> Q8R087-1	reviewed	NM_146045	NM_146045 -> Q8R087-1	Q8R087	B4GT7_MOUSE	reviewed	"Beta-1,4-galactosyltransferase 7 (Beta-1,4-GalTase 7) (Beta4Gal-T7) (b4Gal-T7) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 7) [Includes: Xylosylprotein 4-beta-galactosyltransferase (EC 2.4.1.133) (Proteoglycan UDP-galactose:beta-xylose beta1,4-galactosyltransferase I) (UDP-galactose:beta-xylose beta-1,4-galactosyltransferase) (XGPT) (XGalT-1) (Xylosylprotein beta-1,4-galactosyltransferase)]"	B4galt7 Xgalt1	Mus musculus (Mouse)	327
NM_052993		reviewed	NM_052993		Q9JJ06	C1GLT_MOUSE	reviewed	"Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 (EC 2.4.1.122) (Core 1 O-glycan T-synthase) (T-syn) (Core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase 1) (Core 1 beta1,3-galactosyltransferase 1) (C1GalT1) (Core 1 beta3-Gal-T1)"	C1galt1 Plt1	Mus musculus (Mouse)	363
NM_021550		reviewed	NM_021550		Q9JMG2	C1GLC_MOUSE	reviewed	"C1GALT1-specific chaperone 1 (Core 1 beta1,3-galactosyltransferase 2) (C1Gal-T2) (C1GalT2) (Core 1 beta3-Gal-T2) (mC1Gal-T2) (Core 1 beta3-galactosyltransferase-specific molecular chaperone)"	C1galt1c1 Cosmc	Mus musculus (Mouse)	316
NM_010283		unreviewed	NM_010283		Q9DBU1	Q9DBU1_MOUSE	unreviewed	"Glycoprotein galactosyltransferase alpha 1, 3, isoform CRA_e (N-acetyllactosaminide alpha-1,3-galactosyltransferase)"	Ggta1 mCG_21261	Mus musculus (Mouse)	406
NM_011674		reviewed	NM_011674		Q64676	CGT_MOUSE	reviewed	2-hydroxyacylsphingosine 1-beta-galactosyltransferase (EC 2.4.1.47) (Ceramide UDP-galactosyltransferase) (Cerebroside synthase) (UDP-galactose-ceramide galactosyltransferase)	Ugt8 Cgt Ugt4 Ugt8a	Mus musculus (Mouse)	541
NM_172670	NM_172670 -> Q5XPT3-1	reviewed	NM_172670	NM_172670 -> Q5XPT3-1	Q5XPT3	LARG2_MOUSE	reviewed	"LARGE xylosyl- and glucuronyltransferase 2 (EC 2.4.-.-) (Glycosyltransferase-like 1B) [Includes: Xylosyltransferase LARGE2 (EC 2.4.2.-); Beta-1,3-glucuronyltransferase LARGE2 (EC 2.4.1.-)]"	Large2 Gyltl1b	Mus musculus (Mouse)	690
NM_172948	NM_172948 -> Q765H6-1	reviewed	NM_172948	NM_172948 -> Q765H6-1	Q765H6	MGT5B_MOUSE	reviewed	"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B (EC 2.4.1.-) (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase B) (GlcNAc-T Vb) (GNT-Vb) (Mannoside acetylglucosaminyltransferase 5B) (N-acetylglucosaminyl-transferase Vb) (N-acetylglucosaminyltransferase IX) (GNT-IX)"	Mgat5b	Mus musculus (Mouse)	792
NM_026233	NM_026233 -> Q9D4R2-1	reviewed	NM_026233	NM_026233 -> Q9D4R2-1	Q9D4R2	MGT4D_MOUSE	reviewed	"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein MGAT4D (N-acetylglucosaminyltransferase MGAT1 inhibitory protein) (GlcNAcT-I inhibitory protein) (GnT1IP)"	Mgat4d	Mus musculus (Mouse)	373
NM_001077424		reviewed	NM_001077424		Q14BT6	A4GCT_MOUSE	reviewed	"Alpha-1,4-N-acetylglucosaminyltransferase (Alpha4GnT) (EC 2.4.1.-)"	A4gnt	Mus musculus (Mouse)	341
NM_054052		reviewed	NM_054052		Q8BGY6	B3GN5_MOUSE	reviewed	"Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase (EC 2.4.1.206) (Lactotriaosylceramide synthase) (Lc(3)Cer synthase) (Lc3 synthase) (UDP-GlcNAc:beta-Gal beta-1,3-N-acetylglucosaminyltransferase 5) (BGnT-5) (Beta-1,3-Gn-T5) (Beta-1,3-N-acetylglucosaminyltransferase 5) (Beta3Gn-T5)"	B3gnt5	Mus musculus (Mouse)	376
NM_175383	NM_175383 -> Q8BWP8-1	reviewed	NM_175383	NM_175383 -> Q8BWP8-1	Q8BWP8	B4GA1_MOUSE	reviewed	"Beta-1,4-glucuronyltransferase 1 (EC 2.4.1.-) (I-beta-1,3-N-acetylglucosaminyltransferase) (iGnT) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)"	B4gat1 B3gnt1 B3gnt6	Mus musculus (Mouse)	415
NM_016888		unreviewed	NM_016888		Q3TVJ9	Q3TVJ9_MOUSE	unreviewed	Hexosyltransferase (EC 2.4.1.-)	B3gnt2 B3gnt1 mCG_1046	Mus musculus (Mouse)	397
NM_016888		reviewed	NM_016888		Q9Z222	B3GN2_MOUSE	reviewed	"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2 (EC 2.4.1.149) (Beta-1,3-N-acetylglucosaminyltransferase 1) (BGnT-1) (Beta-1,3-Gn-T1) (Beta3Gn-T1) (Beta-1,3-galactosyltransferase 7) (Beta-1,3-GalTase 7) (Beta3Gal-T7) (Beta3GalT7) (b3Gal-T7) (Beta-3-Gx-T7) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 7) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2) (BGnT-2) (Beta-1,3-Gn-T2) (Beta-1,3-N-acetylglucosaminyltransferase 2) (Beta3Gn-T2) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 7)"	B3GNT2 B3gnt1 Beta3gnt	Mus musculus (Mouse)	397
NM_028189		reviewed	NM_028189		Q5JCS9	B3GN3_MOUSE	reviewed	"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3 (EC 2.4.1.149) (Core 1 extending beta-1,3-N-acetylglucosaminyltransferase) (EC 2.4.1.146) (Core1-beta3GlcNAcT) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3) (BGnT-3) (Beta-1,3-Gn-T3) (Beta-1,3-N-acetylglucosaminyltransferase 3) (Beta3Gn-T3)"	B3gnt3	Mus musculus (Mouse)	372
NM_198611		reviewed	NM_198611		Q1RLK6	B3GN4_MOUSE	reviewed	"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4 (EC 2.4.1.149) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4) (BGnT-4) (Beta-1,3-Gn-T4) (Beta-1,3-N-acetylglucosaminyltransferase 4) (Beta3Gn-T4) (EC 2.4.1.-)"	B3gnt4	Mus musculus (Mouse)	350
NM_001081167		reviewed	NM_001081167		Q3USF0	B3GN6_MOUSE	reviewed	"Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.147) (Core 3 synthase) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6) (BGnT-6) (Beta-1,3-Gn-T6) (Beta-1,3-N-acetylglucosaminyltransferase 6) (Beta3Gn-T6)"	B3gnt6	Mus musculus (Mouse)	391
NM_145222		reviewed	NM_145222		Q8K0J2	B3GN7_MOUSE	reviewed	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 (BGnT-7) (Beta-1,3-Gn-T7) (Beta-1,3-N-acetylglucosaminyltransferase 7) (Beta3Gn-T7) (EC 2.4.1.-)"	B3gnt7	Mus musculus (Mouse)	397
NM_178879		reviewed	NM_178879		Q8VI16	B3GN9_MOUSE	reviewed	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9 (BGnT-9) (Beta-1,3-Gn-T9) (Beta-1,3-N-acetylglucosaminyltransferase 9) (Beta3Gn-T9) (EC 2.4.1.-)"	B3gnt9	Mus musculus (Mouse)	399
NM_007875		reviewed	NM_007875		P42867	GPT_MOUSE	reviewed	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (G1PT) (GPT) (N-acetylglucosamine-1-phosphate transferase)	Dpagt1 Dpagt2 Gnpta	Mus musculus (Mouse)	410
NM_019578		unreviewed	NM_019578		Q3TSP4	Q3TSP4_MOUSE	unreviewed	Uncharacterized protein (Fragment)	Extl1	Mus musculus (Mouse)	636
NM_019578		reviewed	NM_019578		Q9JKV7	EXTL1_MOUSE	reviewed	Exostosin-like 1 (EC 2.4.1.224) (Exostosin-L) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostosis-like protein)	Extl1	Mus musculus (Mouse)	669
NM_021388		unreviewed	NM_021388		Q8C089	Q8C089_MOUSE	unreviewed	Uncharacterized protein (Fragment)	Extl2	Mus musculus (Mouse)	274
NM_021388		reviewed	NM_021388		Q9ES89	EXTL2_MOUSE	reviewed	"Exostosin-like 2 (EC 2.4.1.223) (Alpha-1,4-N-acetylhexosaminyltransferase EXTL2) (Alpha-GalNAcT EXTL2) (EXT-related protein 2) (Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase)"	Extl2 Extr2	Mus musculus (Mouse)	330
NM_018788		unreviewed	NM_018788		Q6P1H4	Q6P1H4_MOUSE	unreviewed	Exostoses (Multiple)-like 3 (Exostosin-like 3)	Extl3	Mus musculus (Mouse)	919
